refund_id,payment_id,amount,created_at
RFD_0C10294B1C2A,PAY_51CD5DE76515,40402.66,2026-09-06
RFD_14E0FBB39DD8,PAY_941E058DC35A,26000.02,2026-09-06
RFD_2A24247E2FDB,PAY_7DB7431D88CB,16441.93,2026-09-06
RFD_2B1EE1EE3884,PAY_895BD61B14B6,23068.53,2026-09-06
RFD_400E13C25BDD,PAY_5C4F56659981,1445.62,2026-09-06
RFD_51450C826A7D,PAY_CC9E3514F90E,1832.63,2026-09-06
RFD_54311FC3E376,PAY_39880F72A982, 10086.09 ,2026-09-06
RFD_701952AEC99A,PAY_0BD6C25D25A6,17389.08,2026-09-06
RFD_9594432A9176,PAY_0592F104622F,49061.71,2026-09-06
RFD_98E2FA34B84B,PAY_9F912D158B82,27857.49,2026-09-06
RFD_9CBAE196E147,PAY_DF27446D9818,3547.31,2026-09-06
RFD_AF72B6CBD43E,PAY_6A71CE61BA35,1502.45,2026-09-06
RFD_BF392299CB16,PAY_DB88CDF8D657,22030.02,2026-09-06
RFD_C9A416A6307B,PAY_5B4C1F8CF8E9,9364.82,2026-09-06
RFD_CE7FD180E56E,PAY_4088B1664F93,4750.81,2026-09-06
RFD_DE37F9CE4013,PAY_C080341F51B7,4049.10,2026-09-06
RFD_EB4ED3482652,PAY_468C1675B327,22450.07,2026-09-06
RFD_FE0A65EFEF8D,PAY_329AC42C6C7D,17049.11,2026-09-06
