settlement_id,batch_id,line_type,payment_id,refund_id,gross,fee,tax,net,settled_event_date
SET_00A1F64D72E8,BAT_249B0E0FF71D,payment,PAY_C18252F261C5,,443.23,0.00,0.00,443.23,2026-09-15
SET_0159A7024924,BAT_EFAAE4E504CE,payment,PAY_2B8117CA3B06,,16076.71,257.23,46.30,15773.18,2026-09-15
SET_03FE6FBFABDF,BAT_ADA160D6BFE2,payment,PAY_E968C2DBBB23,,24218.43,484.37,87.19,23646.87,2026-09-15
SET_040C46F273B8,BAT_249B0E0FF71D,payment,PAY_0704DECAA6DF,,2521.55,59.26,10.67,2451.62,2026-09-15
SET_04FF904845E4,BAT_249B0E0FF71D,payment,PAY_1897659D999B,,3005.64,70.63,12.71,2922.30,2026-09-15
SET_05344980F820,BAT_249B0E0FF71D,payment,PAY_A261D2254C6D,,7746.46,154.93,27.89,7563.64,2026-09-15
SET_054F57CE7B57,BAT_249B0E0FF71D,refund,PAY_E330FA8A6B1A,RFD_60B875ED6D60,0.00,0.00,0.00,-7359.68,2026-09-15
SET_058E9AAC53A4,BAT_ADA160D6BFE2,payment,PAY_E5D98F3343CC,,15459.98,309.20,55.66,15095.12,2026-09-15
SET_05D368337900,BAT_249B0E0FF71D,payment,PAY_59793583C207,,1474.56,0.00,0.00,1474.56,2026-09-15
SET_05E2304F8ACA,BAT_ADA160D6BFE2,payment,PAY_232D41D003C8,,17507.31,350.15,63.03,"17,094.13",2026-09-15
SET_06BC69612378,BAT_EFAAE4E504CE,payment,PAY_E6A71180D854,,27197.06,435.15,78.33,26683.58,2026-09-15
SET_0793A0919613,BAT_EFAAE4E504CE,payment,PAY_936139FF6AA5,,22549.40,439.71,79.15,22030.54,2026-09-15
SET_08667B1F9F5C,BAT_249B0E0FF71D,payment,PAY_F0FD6B0716B6,,3539.32,0.00,0.00,3539.32,2026-09-15
SET_08BCDB8D3A05,BAT_ADA160D6BFE2,payment,PAY_4A47205874EF,,12257.68,0.00,0.00,12257.68,2026-09-15
SET_09BC7F7A45D7,BAT_EFAAE4E504CE,refund,PAY_679D45427017,RFD_D4F513724631,0.00,0.00,0.00,"(47,481.64)",2026-09-15
SET_0B3CCF5A68BD,BAT_249B0E0FF71D,payment,PAY_9EFE53F613E4,,7296.55,0.00,0.00,7296.55,2026-09-15
SET_0CC2FACFDEAE,BAT_ADA160D6BFE2,refund,PAY_3E480989FB66,RFD_3B2767E322C6,0.00,0.00,0.00,-2114.56,2026-09-15
SET_0D21E59A1277,BAT_EFAAE4E504CE,refund,PAY_F9894C114AAA,RFD_1CE63EB06956,0.00,0.00,0.00,"-42,119.71",2026-09-15
SET_0DAF11EAA73E,BAT_EFAAE4E504CE,refund,PAY_AADE1E7D5646,RFD_8A07AB621A96,0.00,0.00,0.00,"(42,202.53)",2026-09-15
SET_0E92094880B5,BAT_EFAAE4E504CE,payment,PAY_BD5B9C33E10E,,32414.31,0.00,0.00,32414.31,2026-09-15
SET_10E9D5A598FF,BAT_EFAAE4E504CE,payment,PAY_B728B93D4836,,54641.77,983.55,177.04,53481.18,2026-09-15
SET_11C94F24DD4B,BAT_EFAAE4E504CE,payment,PAY_FBEC7D5F791B,,17136.38,308.45,55.52,16772.41,2026-09-15
SET_13913AA797FF,BAT_EFAAE4E504CE,payment,PAY_17F72ECF09A6,,58411.64,1139.03,205.03,57067.58,2026-09-15
SET_1527F44C2440,BAT_249B0E0FF71D,payment,PAY_3CC7AB20A1FB,,2545.02,0.00,0.00,2545.02,2026-09-15
SET_162A2460BCD8,BAT_EFAAE4E504CE,payment,PAY_FD683D8BFDB2,,13075.95,0.00,0.00,13075.95,2026-09-15
SET_16DA02F7319D,BAT_ADA160D6BFE2,payment,PAY_A48818B9C611,,20453.70,409.07,73.63,19971.00,2026-09-15
SET_16ED2BD10C30,BAT_ADA160D6BFE2,payment,PAY_E5E0E56E3273,,1993.05,39.86,7.17,1946.02,2026-09-15
SET_18263AF73CC6,BAT_EFAAE4E504CE,payment,PAY_824178D987E9,,15375.07,276.75,49.82,15048.50,2026-09-15
SET_1A330CF7065B,BAT_ADA160D6BFE2,payment,PAY_5575C87A56E1,,17182.52,343.65,61.86,16777.01,2026-09-15
SET_1AE92D728331,BAT_98522345B527,payment,PAY_61EC995C7001,,23657.89,414.01,74.52,23169.36,2026-09-14
SET_1AEB4A155D63,BAT_ADA160D6BFE2,payment,PAY_2AD1CED21DCE,,812.79,0.00,0.00,812.79,2026-09-15
SET_1B3F79280D71,BAT_5DD8CF6BB1B7,payment,PAY_DCB94BEAACC4,,2202.85,39.65,7.14,2156.06,2026-09-14
SET_1B6933353F57,BAT_249B0E0FF71D,payment,PAY_42C9F5BC9017,,5851.30,137.51,24.75,5689.04,2026-09-15
SET_1BFB8870917E,BAT_ADA160D6BFE2,payment,PAY_4069A8656D86,,9803.50,196.07,35.29,9572.14,2026-09-15
