refund_id,payment_id,amount,created_at
RFD_0B1F501D0D5B,PAY_BEF7414D20B8,16053.11,2026-09-04
RFD_1D1FC3086675,PAY_4B0E067DFE85,72.53,2026-09-04
RFD_38A278FACDE5,PAY_97D254E2EBCE,16721.05,2026-09-02
RFD_4772D348B4A0,PAY_26469C1EC7B3,8076.02,2026-09-04
RFD_5DF4334276B5,PAY_A98A26D0D54D,4624.55,2026-09-04
RFD_8171BCCD24B4,PAY_4844EFB825EC,1518.67,2026-09-04
RFD_89E7516251F0,PAY_121B30B1B451,6259.92,2026-09-04
RFD_CAB7389D1C76,PAY_6C034B8651E0,33307.30,2026-09-04
RFD_CF9BB4008BE3,PAY_C32EF146CA5C,14880.71,2026-09-04
RFD_E61FD4857395,PAY_6AC60518C954,19016.35,2026-09-04
