settlement_id,batch_id,line_type,payment_id,refund_id,gross,fee,tax,net,settled_event_date
SET_00CD2E0A1C8B,BAT_995B5FFD2724,payment,PAY_26693D355115,,2200.51,44.01,7.92,2148.58,2026-09-04
SET_01239C9D8414,BAT_995B5FFD2724,payment,PAY_52C29C43C2CA,,14204.75,298.30,53.69,13852.76,2026-09-04
SET_01ECE661FAF4,BAT_AE552EB6121F,payment,PAY_8897333093B1,,26985.41,485.74,87.43,26412.24,2026-09-04
SET_028C724CA851,BAT_15F19E75922D,payment,PAY_32337314C896,,1380.00,0.00,0.00,1380.00,2026-09-04
SET_062A321ECBA3,BAT_15F19E75922D,payment,PAY_A551CE0AC58F,,6101.93,143.40,25.81,5932.72,2026-09-04
SET_0637B6ACF6F2,BAT_AE552EB6121F,payment,PAY_642B4D59BF7D,,47019.15,0.00,0.00,47019.15,2026-09-04
SET_067582F41B06,BAT_AE552EB6121F,payment,PAY_8349E2642DD1,,10101.06,181.82,32.73,9886.51,2026-09-04
SET_099FB84FF2D5,BAT_AE552EB6121F,payment,PAY_F644BB165009,,31555.71,504.89,90.88, 30959.94 ,2026-09-04
SET_09E55A54DB87,BAT_AE552EB6121F,payment,PAY_BCE47DB89D10,,12244.19,0.00,0.00,12244.19,2026-09-04
SET_0B4ABF3B2E11,BAT_15F19E75922D,payment,PAY_1391C58BF2A7,,366.91,0.00,0.00,366.91,2026-09-04
SET_0BA7C9E31734,BAT_995B5FFD2724,payment,PAY_E77C3A9F7E6D,,13996.44,279.93,50.39,13666.12,2026-09-04
SET_0C6FBABC7400,BAT_15F19E75922D,payment,PAY_30641648960A,,4251.18,0.00,0.00,4251.18,2026-09-04
SET_0C763842FF3D,BAT_995B5FFD2724,payment,PAY_9FE59BAADD0F,,18626.93,372.54,67.06,18187.33,2026-09-04
SET_0C87F9CF4C3E,BAT_AE552EB6121F,payment,PAY_0EFFDB3EAF3D,,9233.39,0.00,0.00,9233.39,2026-09-04
SET_0C8E50255ADE,BAT_AE552EB6121F,payment,PAY_45FCA55684C2,,19198.14,345.57,62.20,18790.37,2026-09-04
SET_0CD06A287695,BAT_995B5FFD2724,payment,PAY_D12762CBCFA3,,18291.17,0.00,0.00,18291.17,2026-09-04
SET_0DB68A64055D,BAT_C9FA4EE539BF,payment,PAY_0C628F269CE4,,7632.53,145.02,26.10,7461.41,2026-09-03
SET_0DE2915C579E,BAT_AE552EB6121F,payment,PAY_BEDE3FE281A9,,10115.23,182.07,32.77, 9900.39 ,2026-09-04
SET_0E5094C58C26,BAT_995B5FFD2724,payment,PAY_BCCDA1C51171,,5040.11,88.20,15.88,4936.03,2026-09-04
SET_0E58A1D2AD30,BAT_995B5FFD2724,payment,PAY_8A6ABEF0127D,,4335.40,0.00,0.00,4335.40,2026-09-04
SET_0E68CA97AB52,BAT_15F19E75922D,payment,PAY_4779CC22FAE7,,4318.81,0.00,0.00,4318.81,2026-09-04
SET_0F8ACA223250,BAT_15F19E75922D,payment,PAY_E78C0BD8AB8E,,383.90,0.00,0.00,383.90,2026-09-04
SET_0FF6330EBF8A,BAT_995B5FFD2724,payment,PAY_46A4D3DE9347,,9541.88,0.00,0.00,9541.88,2026-09-04
SET_10171C29542A,BAT_15F19E75922D,payment,PAY_B4AD83426DB0,,806.42,0.00,0.00,806.42,2026-09-04
SET_11165F46BEDD,BAT_15F19E75922D,payment,PAY_8641206E8F4C,,7969.76,187.29,33.71,7748.76,2026-09-04
SET_114B5ACE2FCE,BAT_AE552EB6121F,payment,PAY_1B3199F61F8F,,46777.58,842.00,151.56,45784.02,2026-09-04
SET_149F6006E647,BAT_15F19E75922D,payment,PAY_884C7D87DD3B,,7436.99,0.00,0.00,7436.99,2026-09-04
SET_1649846889B2,BAT_995B5FFD2724,payment,PAY_7D1D9CD0134B,,6388.49,111.80,20.12,6256.57,2026-09-04
SET_16FB28EE792B,BAT_15F19E75922D,payment,PAY_23EFABF5F0AB,,5841.06,137.26,24.71,5679.09,2026-09-04
SET_1A773A83597F,BAT_AE552EB6121F,payment,PAY_F47E4FF9F47B,,46111.46,830.01,149.40,45132.05,2026-09-04
SET_1B35A06DF5C3,BAT_AE552EB6121F,payment,PAY_D014C053769F,,40943.44,0.00,0.00,40943.44,2026-09-04
SET_1BA5F1E8ECC6,BAT_15F19E75922D,payment,PAY_3FA20CA731D6,,4421.96,88.44,15.92,4317.60,2026-09-04
SET_1BAC370995B7,BAT_995B5FFD2724,payment,PAY_EDF6C5EB3492,,15475.95,0.00,0.00,15475.95,2026-09-04
SET_1BB52DE1C3C6,BAT_AE552EB6121F,payment,PAY_4F8A65FC76B9,,9430.92,150.89,27.16,9252.87,2026-09-04
SET_1C50BD48A0EA,BAT_AE552EB6121F,refund,PAY_BEF7414D20B8,RFD_0B1F501D0D5B,0.00,0.00,0.00,-16053.11,2026-09-04
SET_1D8877805BA8,BAT_15F19E75922D,payment,PAY_F19F671DE3C0,,1542.04,0.00,0.00,1542.04,2026-09-04
SET_1E222B0D0306,BAT_AE552EB6121F,payment,PAY_ABC9810F2B94,,58944.06,943.10,169.76,57831.20,2026-09-04
