refund_id,payment_id,amount,created_at
RFD_09E4D2D5C50C,PAY_C8DC53CE0422,9157.32,2026-09-17
RFD_0DC85B3AEE2A,PAY_91956B910FE1,9245.10,2026-09-17
RFD_2DB6188C7F77,PAY_0856E0C66F76,10856.00,2026-09-17
RFD_38CAD6BAC529,PAY_AA80B58831C8,2753.18,2026-09-17
RFD_3F8825C57C66,PAY_02D4B16C7522,8334.02,2026-09-17
RFD_65879FAC8E6D,PAY_FDA024A54E11, 6754.72 ,2026-09-17
RFD_6E102EA25B35,PAY_430D0D2F1158,15885.74,2026-09-17
RFD_782ECB4099E9,PAY_94B87466E3D7,5531.72,2026-09-17
RFD_8DB31C1BFB67,PAY_7F2263745427,3998.26,2026-09-17
RFD_940B6F9CE920,PAY_9F9B49168D59,1754.74,2026-09-17
RFD_94639B0E9822,PAY_D7469EC57586,8718.08,2026-09-17
RFD_B7F35898BCDE,PAY_0590C27D277E,17702.87,2026-09-17
RFD_CE03C7B15B59,PAY_19C4C5D4F5E2,"8,281.87",2026-09-17
RFD_D8923D17E071,PAY_936139FF6AA5,22549.40,2026-09-17
