settlement_id,batch_id,line_type,payment_id,refund_id,gross,fee,tax,net,settled_event_date
SET_0A90E175755C,BAT_4A2225E2D987,payment,PAY_DE2DE20153E0,,7098.84,124.23,22.36,6952.25,2026-09-03
SET_17D6C5A88A27,BAT_AE552EB6121F,payment,PAY_D92B9916B863,,6825.00,0.00,0.00,6825.00,2026-09-04
SET_186284E3A93F,BAT_995B5FFD2724,payment,PAY_B10917ED6637,,17549.46,0.00,0.00,17549.46,2026-09-04
SET_5791C654E6AA,BAT_13C5F0DE95D6,payment,PAY_79E8BAFD1906,,8899.87,160.20,28.84,8710.83,2026-09-03
SET_6F0201CE00A8,BAT_995B5FFD2724,payment,PAY_34701A2F26C6,,941.05,0.00,0.00,941.05,2026-09-04
SET_9027D86A9190,BAT_13C5F0DE95D6,payment,PAY_61CFAF54CD38,,45518.31,819.33,147.48,44551.50,2026-09-03
SET_9FD60C62F42E,BAT_13C5F0DE95D6,payment,PAY_174CE0B169F1,,46647.48,839.65,151.14,45656.69,2026-09-03
SET_ABE529E7C85B,BAT_AE552EB6121F,payment,PAY_E9DCA771705B,,32131.78,514.11,92.54,31525.13,2026-09-04
SET_B47BDD8D139F,BAT_AE552EB6121F,payment,PAY_13E165176F1B,,43943.36,0.00,0.00,43943.36,2026-09-04
SET_B9B0F340469B,BAT_13C5F0DE95D6,payment,PAY_6CF8580ED237,,17120.60,0.00,0.00,17120.60,2026-09-03
SET_CC9E33CBF3B2,BAT_15F19E75922D,payment,PAY_023A578BFE97,,3334.67,0.00,0.00,3334.67,2026-09-04
SET_E560FD84F71B,BAT_13C5F0DE95D6,payment,PAY_E9FC178A8468,,41528.41,0.00,0.00,41528.41,2026-09-03
