payment_id,order_id,method,authorized,captured,status,captured_at
PAY_0076F0E69792,ORD_8002112341EE,upi,7409.32,7409.32,captured,2026-09-16
PAY_0277911B3ADE,ORD_A52791A01863,card,7375.31,"7,375.31",captured,2026-09-16
PAY_031A2E664680,ORD_A8EC97AF848D,upi,5723.00,5723.00,captured,2026-09-16
PAY_05BA1952EF4A,ORD_25F6BF9C4343,netbanking,3874.06,3874.06,captured,2026-09-16
PAY_069BCCAD4FF7,ORD_D1C776773164,card,31041.61,26818.75,partial,2026-09-16
PAY_080F33F3065B,ORD_DE53DD94E34B,upi,6876.38,6876.38,refunded,2026-09-16
PAY_0846A9DB8C30,ORD_734072F38569,upi,6493.99,6493.99,captured,2026-09-16
PAY_0856E0C66F76,ORD_01EEDDE199BA,netbanking,15002.99,15002.99,refunded,2026-09-16
PAY_09EF9B787774,ORD_2483C39C130F,wallet,41984.53,41984.53,captured,2026-09-16
PAY_0B7B812AD0F1,ORD_A549575DAB2E,card,20023.08, 20023.08 ,captured,2026-09-16
PAY_0D95F0B267B6,ORD_75ECDAA94570,upi,20232.67,20232.67,captured,2026-09-16
PAY_0F34BA5C8A0B,ORD_D90201F4A6F5,card,1491.13,1491.13,captured,2026-09-16
PAY_11A70F9963BC,ORD_8D5DBE0A46EE,upi,7914.63,7914.63,captured,2026-09-16
PAY_12727718FC9B,ORD_83F0AE9AB537,upi,7611.11,7611.11,captured,2026-09-16
PAY_13DF45285955,ORD_64C78F5458B0,upi,4393.85,4393.85,captured,2026-09-16
PAY_143FB6B57863,ORD_0AC6AAB80EE4,upi,1084.87,1084.87,captured,2026-09-16
PAY_17A9270DBB37,ORD_21D778EE19B7,upi,1904.97,1904.97,captured,2026-09-16
PAY_18C7246F8E52,ORD_060515EDDCFE,upi,6118.76,6118.76,captured,2026-09-16
PAY_1961BEB6A2BD,ORD_8C74A7FE531D,netbanking,33955.72,33955.72,captured,2026-09-16
PAY_1A6AB1AD59F0,ORD_ADD60410DEB0,upi,34413.27, 34413.27 ,captured,2026-09-16
