refund_id,payment_id,amount,created_at
RFD_1CBEE49454A3,PAY_84AAD85A036A,8057.39,2026-09-14
RFD_1CF186574E1A,PAY_F002D44BAB6F,45716.72,2026-09-14
RFD_2900F2020B47,PAY_76896E7CC998,20859.19,2026-09-14
RFD_353773C52269,PAY_EAA81216254C,17374.60,2026-09-14
RFD_79C01CA2EC78,PAY_C540C309A101,6328.06,2026-09-14
RFD_93423E4B455F,PAY_9D3E9ED1E534,22233.92,2026-09-14
RFD_97384E667D9B,PAY_C176E23A3138,6988.64,2026-09-14
RFD_9EDFA91F002C,PAY_1ACBDF9E4CF2,20829.57,2026-09-14
RFD_C09E29F24494,PAY_26C01CD48206,6950.63,2026-09-14
RFD_C93CB3A6A7D8,PAY_0DFDC418C29D,35839.32,2026-09-14
RFD_CF2E11881129,PAY_9B2E8AADD597,736.36,2026-09-14
RFD_D18F35FBD489,PAY_129C4DDA9F23,27022.90,2026-09-14
RFD_F3573F176ECC,PAY_6622EEE3943C,926.89,2026-09-14
RFD_FA5EB0A69769,PAY_F4650DA90AA5,316.65,2026-09-14
RFD_FE3CE2F9FCEA,PAY_33CB7A385C0A,3503.91,2026-09-14
