refund_id,payment_id,amount,created_at
RFD_086341F7FB78,PAY_158AD19E9E7B,24548.72,2026-09-08
RFD_23046F04481A,PAY_FD03AD08397A,35155.57,2026-09-08
RFD_4356C74347B0,PAY_091DCC914D2A,4178.43,2026-09-08
RFD_443C9B3A7899,PAY_BEC72255E35A,10655.04,2026-09-08
RFD_5D53FCAB7680,PAY_71DEC5C4F46A,4091.50,2026-09-08
RFD_5FBB6F97BA16,PAY_8B0CCCBC206C,36250.85,2026-09-08
RFD_71670210CBBC,PAY_A58B7F9AEE03,3441.05,2026-09-08
RFD_73BDB344653C,PAY_192AC260B669,13883.03,2026-09-08
RFD_79EF92BF15E6,PAY_C6FAE150F2AA,7599.58,2026-09-08
RFD_83F743002A9A,PAY_9AA3662643F5,1774.46,2026-09-08
RFD_870B4D7B459C,PAY_82369F4A33CE,12119.80,2026-09-08
RFD_8E92694F84CA,PAY_7BFDC7119A1A,38881.65,2026-09-08
RFD_A0EE26404A0B,PAY_A54DD5F174AC,39128.81,2026-09-08
RFD_B14440C3506E,PAY_C8B681A0ABB4,13305.81,2026-09-08
RFD_C2A9BAC8BBAC,PAY_667FA9F8DADD,660.73,2026-09-06
RFD_C332334883FF,PAY_CE7889790890,7261.07,2026-09-08
