settlement_id,batch_id,line_type,payment_id,refund_id,gross,fee,tax,net,settled_event_date
SET_00B700AD8261,BAT_8F387AE8696F,payment,PAY_78CA12ACBC67,,15956.47,255.30,45.95, 15655.22 ,2026-09-10
SET_00C38363E618,BAT_7D9615074F92,payment,PAY_6E42016531A4,,23525.82,0.00,0.00, 23525.82 ,2026-09-10
SET_025B7E733EA4,BAT_6999AE747793,payment,PAY_35A31877A326,,7127.81,167.50,30.15,6930.16,2026-09-10
SET_0327F068E80F,BAT_7D9615074F92,payment,PAY_A46AA0D4185E,,17789.48,0.00,0.00,17789.48,2026-09-10
SET_03772F91F8F4,BAT_7D9615074F92,payment,PAY_15F5D583ADC2,,11589.20,0.00,0.00,11589.20,2026-09-10
SET_04E495211769,BAT_6999AE747793,payment,PAY_555E36A87321,,5305.95,124.69,22.44,5158.82,2026-09-10
SET_050E08F70CD2,BAT_7D9615074F92,payment,PAY_DFEFA1338C88,,23628.31,472.57,85.06,23070.68,2026-09-10
SET_0836B1DA869B,BAT_8F387AE8696F,payment,PAY_DA2983304E9F,,39381.41,708.87,127.60,38544.94,2026-09-10
SET_08F07C89A150,BAT_6999AE747793,payment,PAY_CA0338FF5993,,7491.39,0.00,0.00,7491.39,2026-09-10
SET_09490B317BEE,BAT_8F387AE8696F,payment,PAY_AE0B4DA9B8C5,,7587.81,136.58,24.58,7426.65,2026-09-10
SET_09F6D74E2E9A,BAT_7D9615074F92,payment,PAY_36B58C11EB56,,5937.47,0.00,0.00,5937.47,2026-09-10
SET_0A3850B148E8,BAT_6999AE747793,payment,PAY_BD9DC9ABEF40,,5771.50,0.00,0.00,5771.50,2026-09-10
SET_0A3C9C0F9540,BAT_6999AE747793,payment,PAY_6830BF0E0B9D,,1450.34,34.08,6.13,1410.13,2026-09-10
SET_0A3DDE7FA1D4,BAT_7D9615074F92,payment,PAY_E7F79F17E3FC,,22225.52,444.51,80.01,21701.00,2026-09-10
SET_0AE9803CBF36,BAT_6999AE747793,payment,PAY_DB1A6B507D51,,3746.82,0.00,0.00,3746.82,2026-09-10
SET_0B02F3195D04,BAT_6999AE747793,payment,PAY_4DE054C62165,,4774.76,0.00,0.00,4774.76,2026-09-10
SET_0DC3D34463B4,BAT_19ED03A65407,payment,PAY_5612DF172330,,21068.13,421.36,75.84,20570.93,2026-09-08
SET_0E00DEEB2E71,BAT_8F387AE8696F,payment,PAY_02B68AB83E74,,59661.09,954.58,171.82,"58,534.69",2026-09-10
SET_0E8D6EAD6764,BAT_7D9615074F92,payment,PAY_BF00D0B72C92,,13913.05,0.00,0.00,13913.05,2026-09-10
SET_0F1718ADDFB3,BAT_6999AE747793,payment,PAY_6777CBEC6B39,,4295.62,0.00,0.00,4295.62,2026-09-10
SET_0FAD90947740,BAT_7D9615074F92,payment,PAY_EE3820B715D3,,13316.77,0.00,0.00,13316.77,2026-09-10
SET_10E87D42333D,BAT_7D9615074F92,payment,PAY_2F25FD4163FE,,24311.29,0.00,0.00,24311.29,2026-09-10
SET_111CD6E2B764,BAT_7D9615074F92,payment,PAY_00A24401062F,,24665.09,493.30,88.79,24083.00,2026-09-10
SET_11EF57E4D252,BAT_6999AE747793,payment,PAY_72B3B84BFBB6,,4175.05,0.00,0.00,4175.05,2026-09-10
SET_12BAC028DE1B,BAT_8F387AE8696F,payment,PAY_9E2DCBC2A6E1,,44048.19,792.87,142.72,43112.60,2026-09-10
SET_14193A78EB50,BAT_8F387AE8696F,payment,PAY_A8D94421B5A4,,34737.05,0.00,0.00,34737.05,2026-09-10
SET_14F001E19CEF,BAT_7D9615074F92,refund,PAY_F1DE832F01A2,RFD_7A305CA94CD4,0.00,0.00,0.00,-2601.13,2026-09-10
SET_158B47D641BF,BAT_7D9615074F92,payment,PAY_5D426D48769B,,13657.91,286.82,51.63,13319.46,2026-09-10
SET_15DB66D511E2,BAT_6999AE747793,payment,PAY_662892F8A2B0,,4755.92,0.00,0.00,4755.92,2026-09-10
SET_19D75CAEE1B0,BAT_7D9615074F92,refund,PAY_C4BEF63B153F,RFD_33BD22561064,0.00,0.00,0.00,-14960.48,2026-09-10
SET_1BAE8B52F055,BAT_38FD4BE54614,payment,PAY_AE5E78672920,,47389.67,853.01,153.54,46383.12,2026-09-08
SET_1C04ABDDF712,BAT_7D9615074F92,payment,PAY_AC74800FF9BF,,14789.21,0.00,0.00,14789.21,2026-09-10
SET_1C3067064C75,BAT_6999AE747793,payment,PAY_16AE6A27A6BB,,3807.72,0.00,0.00,3807.72,2026-09-10
SET_1C7B3E8C76D0,BAT_8F387AE8696F,payment,PAY_15EDC20ECDE5,,30226.52,544.08,97.93, 29584.51 ,2026-09-10
SET_1C95C055BC0F,BAT_8F387AE8696F,payment,PAY_EA73317E182F,,26244.23,419.91,75.58,25748.74,2026-09-10
SET_1D25AE32735B,BAT_8F387AE8696F,payment,PAY_6D5CAF8559D0,,18972.51,303.56,54.64,18614.31,2026-09-10
SET_1E4BBC8347F2,BAT_8F387AE8696F,payment,PAY_958A0D2BAF72,,55578.78,1000.42,180.08,"54,398.28",2026-09-10
SET_1EE2C00E66CD,BAT_8F387AE8696F,payment,PAY_DCE957329C0F,,50880.20,915.84,164.85,49799.51,2026-09-10
SET_1F84C3D58740,BAT_6999AE747793,payment,PAY_5E551EF91F23,,6424.56,128.49,23.13,6272.94,2026-09-10
SET_2175906919C9,BAT_7D9615074F92,payment,PAY_F0A07C5B69C7,,18197.31,363.95,65.51,17767.85,2026-09-10
