settlement_id,batch_id,line_type,payment_id,refund_id,gross,fee,tax,net,settled_event_date
SET_000E1BAD9500,BAT_8C35832FBD31,payment,PAY_DB025233EB0F,,6650.26,133.01,23.94,6493.31,2026-09-16
SET_0012E2A86B92,BAT_9952F1823E49,payment,PAY_EF2FFE31185F,,31050.26,558.90,100.60,30390.76,2026-09-16
SET_02B6A985D241,BAT_9952F1823E49,payment,PAY_FF84B77391EC,,46969.62,845.45,152.18,45971.99,2026-09-16
SET_039A58285425,BAT_488D46B24240,payment,PAY_DD9CD78BC8C8,,518.65,9.85,1.77,507.03,2026-09-16
SET_03B8C3B5143C,BAT_488D46B24240,payment,PAY_3D0ACBAE25BA,,5982.68,140.59,25.31,5816.78,2026-09-16
SET_0799313AC55D,BAT_9952F1823E49,payment,PAY_5CEB0FF1FBE8,,22468.72,404.44,72.80,21991.48,2026-09-16
SET_0868342D3875,BAT_8C35832FBD31,payment,PAY_50F81F90E853,,817.85,0.00,0.00,817.85,2026-09-16
SET_0868A78AE5B4,BAT_9952F1823E49,payment,PAY_631901CE9C88,,59604.18,0.00,0.00,59604.18,2026-09-16
SET_087DC2905D59,BAT_9952F1823E49,payment,PAY_D3E044BCC2ED,,1704.19,0.00,0.00,1704.19,2026-09-16
SET_08C61CDB44E6,BAT_488D46B24240,payment,PAY_119ECB1A3EBC,,3662.98,0.00,0.00,3662.98,2026-09-16
SET_08CBB1FAFC59,BAT_488D46B24240,payment,PAY_AB0CE294E8A4,,6294.11,147.91,26.62, 6119.58 ,2026-09-16
SET_0AC251C1E32C,BAT_488D46B24240,payment,PAY_8C371A044A33,,6260.80,0.00,0.00,6260.80,2026-09-16
SET_0B13EE7F25EF,BAT_9952F1823E49,payment,PAY_765BCD90AF08,,19624.00,353.23,63.58,19207.19,2026-09-16
SET_0B73730CE553,BAT_5DD8CF6BB1B7,refund,PAY_C540C309A101,RFD_79C01CA2EC78,0.00,0.00,0.00,-6328.06,2026-09-14
SET_0BFB0597B7A7,BAT_488D46B24240,payment,PAY_F81E2453B5A3,,2752.80,0.00,0.00,2752.80,2026-09-16
SET_0C4B77D9E974,BAT_488D46B24240,payment,PAY_8FB6AC7E975E,,1321.74,0.00,0.00,"1,321.74",2026-09-16
SET_0DD45D71FC1C,BAT_488D46B24240,payment,PAY_2AD94FBF16CF,,4831.16,113.53,20.44,4697.19,2026-09-16
SET_0F4564DD35D2,BAT_9952F1823E49,payment,PAY_DF9499D448AC,,8242.69,148.37,26.71,8067.61,2026-09-16
SET_0F679CD105FF,BAT_8C35832FBD31,payment,PAY_670B166431F3,,15380.15,307.60,55.37, 15017.18 ,2026-09-16
SET_0F6EF26338B5,BAT_488D46B24240,payment,PAY_507C4AB53704,,2857.02,67.14,12.09,2777.79,2026-09-16
SET_0FA234D33935,BAT_8C35832FBD31,payment,PAY_45D08E895EDC,,17976.07,0.00,0.00,17976.07,2026-09-16
SET_11B73447EE40,BAT_488D46B24240,payment,PAY_6B8395B3AA2E,,2962.15,0.00,0.00,2962.15,2026-09-16
