refund_id,payment_id,amount,created_at
RFD_216040D8C697,PAY_F6EFC8DD43CA,4994.19,2026-09-07
RFD_229353CA7EC4,PAY_580ABE77E2AB,10700.61,2026-09-07
RFD_38239519E019,PAY_639970E52C4D,23925.71,2026-09-07
RFD_425DB3B5A33E,PAY_31321DE63F04,5011.11,2026-09-07
RFD_4B0EA7B2CCC5,PAY_E3AF4396C896,4019.10,2026-09-07
RFD_58FDB737B71E,PAY_34651A015131,"4,214.80",2026-09-07
RFD_6157AD625812,PAY_6AAAF4AF5D97,2662.84,2026-09-07
RFD_6FB77AE3A770,PAY_37499DB7AEE2,15325.24,2026-09-07
RFD_9C45EDE38D0F,PAY_99F7C21FE7AF,14795.35,2026-09-07
RFD_AEF21DCE7870,PAY_6310CFB60E27,27351.12,2026-09-07
RFD_B08A296CE53A,PAY_6DFB20144FE6,4301.45,2026-09-07
RFD_BE63F4601F1B,PAY_CAE00FAEB2B8,7311.20,2026-09-07
RFD_EE8217B04ECC,PAY_2293A3D6695E,35101.07,2026-09-07
