refund_id,payment_id,amount,created_at
RFD_0A9896D85077,PAY_F1D64ACD851A,22774.30,2026-09-05
RFD_1439D4F16D48,PAY_ED583820E85A,587.46,2026-09-05
RFD_1C8DBE558C8A,PAY_0D9EC4206FDD,10859.74,2026-09-05
RFD_2C9B3CD31238,PAY_480F5A7B73FD,479.74,2026-09-05
RFD_4F98224AB140,PAY_6576255ACAEC,2798.54,2026-09-05
RFD_57232B490F28,PAY_3038D9EF686F,19860.91,2026-09-05
RFD_5EC3F516DB8C,PAY_F47E4FF9F47B, 46111.46 ,2026-09-04
RFD_7E1B4FD37FA9,PAY_203390DD1074,2028.21,2026-09-05
RFD_7E648EA5D490,PAY_C58F23950283,8301.88,2026-09-05
RFD_99C337D7D9E2,PAY_3E3EC5E9B293,422.93,2026-09-05
RFD_A65DD8F2F469,PAY_9E10994DA425,50645.83,2026-09-05
RFD_E91BCA93B474,PAY_BC9230028EF9,"57,022.97",2026-09-05
RFD_EA4BCBEC03E4,PAY_1C4322554B39,3053.74,2026-09-05
RFD_EB19898E298F,PAY_D2FA53C86D0D,10981.12,2026-09-05
RFD_F750E0E091A7,PAY_A29179C2B732,5973.2,2026-09-05
