payment_id,order_id,method,authorized,captured,status,captured_at
PAY_00E786F633B5,ORD_224F09B7B3E8,wallet,8400.36,8400.36,refunded,2026-09-12
PAY_021D4D420598,ORD_49F19A6C1F7C,wallet,12685.48,12685.48,captured,2026-09-12
PAY_033D8B895220,ORD_60269DA67E32,card,4410.29,4410.29,captured,2026-09-12
PAY_03F2ED875756,ORD_62613DE82BC2,upi,2856.47,2856.47,captured,2026-09-12
PAY_0AE356545085,ORD_A0DCC1AF7670,wallet,45765.98,45765.98,refunded,2026-09-12
PAY_0E92E184086B,ORD_1222D785D752,upi,17501.17,17501.17,captured,2026-09-12
PAY_105F774A83AE,ORD_CEC16712F525,card,30710.32, 30710.32 ,captured,2026-09-12
PAY_112D07E114FD,ORD_70154057E86D,card,22752.43,22752.43,captured,2026-09-12
PAY_11B9B6753C48,ORD_F533759A4710,upi,1535.51,1535.51,captured,2026-09-12
PAY_120EA8D2B059,ORD_AE40C6F1D1FA,netbanking,24195.17,24195.17,captured,2026-09-12
PAY_122090B3CD75,ORD_251870FD316F,card,17112.92,17112.92,captured,2026-09-12
PAY_135B696B7B29,ORD_5CBBBA89D743,card,14961.36,14961.36,captured,2026-09-12
PAY_164D170AC6AA,ORD_780B1E53D03F,card,6181.17,6181.17,captured,2026-09-12
PAY_16E3BCA5627E,ORD_0BA083AF8F90,upi,5732.30,5732.30,captured,2026-09-12
PAY_1850890F8123,ORD_214EC4732CB3,card,3683.76,3683.76,captured,2026-09-12
PAY_1989241239C5,ORD_479391343CBE,upi,2218.68,2218.68,captured,2026-09-12
PAY_1A128E635754,ORD_913B0A1EA7CF,upi,3642.15,3642.15,captured,2026-09-12
PAY_1A545B1E9160,ORD_5686009C3765,card,20736.37,20736.37,captured,2026-09-12
PAY_1B5B76B5AE26,ORD_E18E14E0CC9C,upi,4458.15,4458.15,captured,2026-09-12
PAY_1CA02ED6F740,ORD_252F6E3FCE50,card,50001.70,50001.70,captured,2026-09-12
PAY_211E16903B51,ORD_28F43D256CBD,card,1244.89,1244.89,captured,2026-09-12
PAY_2235C4A4A2EE,ORD_89C5DCC8989E,upi,21640.30,21640.30,captured,2026-09-12
PAY_241572D26376,ORD_DEF7DEA6F50C,wallet,7249.46,7249.46,captured,2026-09-12
PAY_269423573FD9,ORD_CD195E8832A3,netbanking,20008.91,20008.91,captured,2026-09-12
PAY_2A7C9142AAF0,ORD_CDC59F49FF16,card,3994.19,3994.19,captured,2026-09-12
PAY_2AC97167EEEF,ORD_00D7B37C1F1C,card,50808.01,50808.01,captured,2026-09-12
PAY_2AF4938D8C1E,ORD_4D504A1070C4,card,7761.13,7761.13,captured,2026-09-12
PAY_2BCC5EDC2352,ORD_1D2748AF875B,upi,55830.77,55830.77,captured,2026-09-12
PAY_2D3914374CE3,ORD_0510A925BD7C,wallet,19896.34,19896.34,captured,2026-09-12
