payment_id,order_id,method,authorized,captured,status,captured_at
PAY_001CBBD6AC36,ORD_B496D2CD7844,card,1201.50,1201.50,captured,2026-09-03
PAY_01425E6D5F56,ORD_35F910BFEFA4,upi,4183.96,4183.96,captured,2026-09-03
PAY_01CEA90AA547,ORD_59CE6C029F10,netbanking,2604.21,2604.21,captured,2026-09-03
PAY_021AE82961A1,ORD_C12834C3F2E0,upi,265.33,265.33,captured,2026-09-03
PAY_03C13D75BCB6,ORD_DAB0BC248CCA,card,53115.54,53115.54,captured,2026-09-03
PAY_03C733B23DF3,ORD_8045610874C1,card,33739.39,33739.39,captured,2026-09-03
PAY_0405FD22DA07,ORD_79B2E032E3A4,upi,13549.67,13549.67,captured,2026-09-03
PAY_042CB0233950,ORD_EB1F137208C9,upi,4104.16,4104.16,captured,2026-09-03
PAY_04C154AF2D0D,ORD_E4689C6C4CA4,netbanking,1130.23,1130.23,captured,2026-09-03
PAY_05A267981A52,ORD_DCA2571D7581,card,11085.24,11085.24,captured,2026-09-03
PAY_05EA9BF3E1EE,ORD_784E6EFBFA8E,card,347.38,347.38,captured,2026-09-03
PAY_082A90F35A31,ORD_3C9DE3DECA8A,card,2734.55,2734.55,captured,2026-09-03
PAY_08D51D5BAE1D,ORD_9957D1DE4707,upi,17088.50,17088.50,captured,2026-09-03
PAY_0948865CF53D,ORD_E5DEEF4E0393,card,25569.53,25569.53,captured,2026-09-03
PAY_09F0F4CC1BC3,ORD_15E58302B8C2,upi,793.02,793.02,captured,2026-09-03
PAY_0B3C810BCC0B,ORD_C6E203D989CA,upi,667.61,667.61,captured,2026-09-03
PAY_0C628F269CE4,ORD_50108F4D8EED,netbanking,7632.53,7632.53,captured,2026-09-03
PAY_0C976884EEEA,ORD_245DFEF13844,upi,6683.19,6683.19,refunded,2026-09-03
PAY_0D1E055A404E,ORD_3ABFB475FBEF,card,11446.25,11446.25,captured,2026-09-03
PAY_0D34622B8721,ORD_D0EA041450FF,wallet,1228.94,1228.94,captured,2026-09-03
PAY_0E6D9C37B8FE,ORD_81E510906A8E,card,6709.72,6709.72,captured,2026-09-03
PAY_0EFFDB3EAF3D,ORD_FB693B6E101D,upi,9233.39,9233.39,captured,2026-09-03
PAY_0FBA0DB98F74,ORD_78E332CF3A86,card,11379.27,11379.27,captured,2026-09-03
PAY_1012C31C9A0A,ORD_55CF3FA7E5C1,card,21956.70,21956.70,captured,2026-09-03
PAY_1111618C7F6F,ORD_EE46D33FC72E,card,24720.76,24720.76,captured,2026-09-03
PAY_11887B3288E9,ORD_480C154D969B,card,58255.43,58255.43,captured,2026-09-03
PAY_119ECCA40B10,ORD_516C89A5122F,upi,21519.31,21519.31,captured,2026-09-03
PAY_15D92EEF1A08,ORD_EC10F15E8A59,card,2973.15,2973.15,captured,2026-09-03
PAY_16187A4AF07A,ORD_02ED2FBB51F4,card,13476.03,13476.03,refunded,2026-09-03
PAY_172DB5DFDE4F,ORD_07025CB850B8,upi,425.00,425.00,captured,2026-09-03
PAY_174CE0B169F1,ORD_C92871A7F2D3,card,46647.48,46647.48,captured,2026-09-03
PAY_17D3F031F6F0,ORD_E287E04012EF,card,9363.21,9363.21,captured,2026-09-03
PAY_17E772198910,ORD_87999DB5ED71,upi,54409.60,54409.60,captured,2026-09-03
PAY_185B24568C86,ORD_6043B7E3124F,upi,17847.27,17847.27,captured,2026-09-03
PAY_19CF99FBBC15,ORD_8ECF51A1ACD8,card,10688.23,10688.23,captured,2026-09-03
PAY_1BA0158772DE,ORD_19BBC34626CC,card,5592.73, 5592.73 ,captured,2026-09-03
PAY_1D18B219CE5B,ORD_659529D9909C,card,8635.85,8635.85,captured,2026-09-03
PAY_1DC3AEC7746D,ORD_0E15915E994D,upi,4347.11,4347.11,captured,2026-09-03
PAY_200D9CEEF81A,ORD_464B608E13B9,card,13277.80,13277.80,captured,2026-09-03
PAY_2220664FF1DC,ORD_E1DC9EB90B4E,wallet,20594.25,20594.25,captured,2026-09-03
PAY_256241EB4B37,ORD_CCE06E74FF41,wallet,257.08,257.08,captured,2026-09-03
PAY_2666FB2F9D5A,ORD_FB54FB1B7439,upi,1642.04,1642.04,captured,2026-09-03
PAY_2686906DE2E1,ORD_CF221E805AA2,netbanking,919.74,919.74,captured,2026-09-03
PAY_2762D0811395,ORD_D73DD5E9E51D,upi,5196.81,5196.81,captured,2026-09-03
PAY_27FD1813DEC7,ORD_F8135E1045E5,upi,4968.30,4968.30,captured,2026-09-03
PAY_28D1CE59CF7D,ORD_2FE9354488F3,card,1455.93,1455.93,captured,2026-09-03
PAY_2A06194AB8E2,ORD_B4C8B689D2A7,card,13235.96,13235.96,captured,2026-09-03
PAY_2B29D97166DE,ORD_563C541959BD,upi,3502.36,3502.36,captured,2026-09-03
PAY_2BF10F5F9E47,ORD_A68D2DDAB905,upi,48417.40,48417.40,captured,2026-09-03
PAY_2CB34F3DC600,ORD_D80B4FBA0B3E,card,780.31,780.31,captured,2026-09-03
PAY_2CD4E46A080D,ORD_A281232A8CAE,card,1303.45,1303.45,captured,2026-09-03
PAY_2D056252A969,ORD_F53CB7498595,wallet,6993.51,6993.51,captured,2026-09-03
PAY_2D4AD90654CF,ORD_1F6CACC3A5D3,card,2003.77,2003.77,captured,2026-09-03
PAY_2EE4C2DF6617,ORD_492EB30BB785,card,42350.06,42350.06,captured,2026-09-03
PAY_2F21D1FC1517,ORD_579ACF743953,upi,18161.35,18161.35,captured,2026-09-03
PAY_2F99B644942A,ORD_941FB5275425,upi,3932.47, 2254.82 ,partial,2026-09-03
PAY_3082BAB2D8B8,ORD_EF46B8C2C865,netbanking,7065.71,7065.71,captured,2026-09-03
PAY_30C85FB4DB07,ORD_D3DE143089BA,card,5606.18,5606.18,captured,2026-09-03
PAY_331B3ACC0331,ORD_3ADFC21B0216,upi,16033.73,16033.73,captured,2026-09-03
PAY_34ED2D53B5E9,ORD_1693C68413F0,wallet,4876.80,"4,876.80",captured,2026-09-03
PAY_37FF2CCE59FE,ORD_13B3515D226B,upi,16422.41,16422.41,captured,2026-09-03
PAY_383C1F203A21,ORD_7E331BC02423,card,29963.40,29963.40,captured,2026-09-03
PAY_396CAE2749F3,ORD_890A64FF9D4A,upi,46389.56,23904.75,partial,2026-09-03
PAY_39D767F4E10C,ORD_261E807F098E,card,20724.47,20724.47,captured,2026-09-03
PAY_3B78DB00E83E,ORD_84E84425D117,netbanking,21311.97,21311.97,captured,2026-09-03
PAY_3E3EC5E9B293,ORD_CFABEC1819A9,card,759.83,759.83,refunded,2026-09-03
PAY_3F25122F0FA6,ORD_69B21D319F03,upi,6841.04,6841.04,captured,2026-09-03
PAY_3F40C764FA5B,ORD_64C0D1984702,card,28312.42,28312.42,captured,2026-09-03
PAY_3F5CAD44FF8C,ORD_7AA4E304C673,netbanking,56328.84,56328.84,captured,2026-09-03
PAY_4026DE07ED2B,ORD_F5EB765C4B38,upi,5937.59,5937.59,captured,2026-09-03
PAY_4088B1664F93,ORD_EC81328DA59D,upi,4750.81, 4750.81 ,refunded,2026-09-03
PAY_40F46F029FFC,ORD_1E8EDCE2738B,card,6492.59, 6492.59 ,captured,2026-09-03
PAY_410794CD9839,ORD_C5BC1B677C91,upi,2416.56,1963.95,partial,2026-09-03
PAY_42819848E46D,ORD_21AF96115B19,card,1067.24, 1067.24 ,captured,2026-09-03
PAY_436B32BEAC6C,ORD_E3AA45128F7F,upi,55107.28,55107.28,captured,2026-09-03
PAY_45B82A951485,ORD_78602191A956,card,37894.34,37894.34,captured,2026-09-03
PAY_45FE1E6FFBE0,ORD_82FFFD483AD4,upi,1342.59,1342.59,captured,2026-09-03
PAY_465180CEAE59,ORD_1498D62BACD5,upi,3905.09,3905.09,captured,2026-09-03
PAY_4844EFB825EC,ORD_8AE35338BBD3,upi,1518.67,1518.67,refunded,2026-09-03
PAY_486D25F2E805,ORD_3E9507E4DC6D,upi,2759.67,2759.67,captured,2026-09-03
PAY_489430CEE4FB,ORD_0499523B1B37,upi,5189.95,5189.95,captured,2026-09-03
PAY_4B2FBE273BBE,ORD_BD87319FE247,card,47778.73, 47778.73 ,captured,2026-09-03
PAY_4C44E96DD6B8,ORD_451D5FAC3BD3,netbanking,5831.36,5831.36,captured,2026-09-03
PAY_4CE1AEB1F3C5,ORD_D76424507CF6,upi,8284.28,8284.28,captured,2026-09-03
PAY_4D551E155C26,ORD_640BB5CE0362,upi,21065.58,21065.58,captured,2026-09-03
PAY_4D5FED5A9DC2,ORD_F004FD81C088,card,24938.80,24938.80,captured,2026-09-03
PAY_4D77FFF7E76B,ORD_902015458BD7,upi,3154.21,3154.21,captured,2026-09-03
PAY_4F54C9DE22A1,ORD_D288354CBA8B,upi,6670.39,6670.39,captured,2026-09-03
PAY_50998A71D907,ORD_660538613AB2,wallet,5524.36,5524.36,captured,2026-09-03
PAY_5124858B4DE2,ORD_886DCFE3AB62,upi,5045.36,5045.36,captured,2026-09-03
PAY_5517FA02DDF0,ORD_29A36D2AAD1A,upi,46609.04,46609.04,captured,2026-09-03
PAY_551E71244861,ORD_40B991614013,wallet,22233.97,22233.97,captured,2026-09-03
PAY_55935ACDE98B,ORD_076D195B0258,upi,5452.48,5452.48,captured,2026-09-03
PAY_55BA33C7FAF5,ORD_A0EDE3C40AA4,card,13181.62,13181.62,captured,2026-09-03
PAY_55C279F7A19B,ORD_26C94F193BBD,wallet,756.74,756.74,captured,2026-09-03
PAY_592B7A178DBD,ORD_A8E4DF0ADEBF,netbanking,592.83,592.83,captured,2026-09-03
PAY_595BEBC7FEBC,ORD_E15A012D6639,upi,6047.20,6047.20,captured,2026-09-03
PAY_5AFBAC0489B8,ORD_A3B3EFCEAD18,upi,7702.79,4309.67,partial,2026-09-03
PAY_5BDB0EE7981B,ORD_3E3C5D80C4FB,card,44911.99,31768.30,partial,2026-09-03
PAY_5D7194FDB56C,ORD_F2E713E22014,upi,12319.31,10116.15,partial,2026-09-03
PAY_5E25BBEA8921,ORD_32F5E6A28767,upi,8150.21, 8150.21 ,captured,2026-09-03
PAY_5E285DC6F2E7,ORD_0A179D642606,upi,557.82, 557.82 ,captured,2026-09-03
PAY_6007CB0D75EB,ORD_50917D1209C6,card,6724.38,6724.38,captured,2026-09-03
PAY_60C94EB67B1B,ORD_CEC2D9374665,card,38168.18,38168.18,captured,2026-09-03
PAY_6145A2C16672,ORD_86C7EBBED5A3,card,6194.23,6194.23,captured,2026-09-03
PAY_61804B985A6D,ORD_19FD5B30FC63,upi,3094.34,3094.34,captured,2026-09-03
PAY_621BBFAB764E,ORD_43C74124113E,upi,24673.38, 24673.38 ,captured,2026-09-03
PAY_6574A06A930D,ORD_BC3517811B28,wallet,5658.28,5658.28,captured,2026-09-03
PAY_6A1A37193D09,ORD_3302AD8FE856,upi,6161.94,6161.94,captured,2026-09-03
PAY_6A71CE61BA35,ORD_C7E5EE7FD929,card,1502.45,1502.45,refunded,2026-09-03
PAY_6A8C183715B7,ORD_41AEAD8ADAF6,card,49658.64,49658.64,captured,2026-09-03
PAY_6AC60518C954,ORD_C5E91990E546,upi,19016.35,19016.35,refunded,2026-09-03
PAY_6C034B8651E0,ORD_4D641CF4289F,card,55330.89,55330.89,refunded,2026-09-03
PAY_6CF73E04B5CA,ORD_9AC6EC6B0C15,card,16437.03,10255.03,partial,2026-09-03
PAY_6CF8580ED237,ORD_9784A51F068D,upi,17120.60,17120.60,captured,2026-09-03
PAY_6E35C0E59637,ORD_3C8CB99CBAE2,upi,3371.70,3371.70,captured,2026-09-03
PAY_712ED5CEA5F6,ORD_BB4EFC5D3E74,wallet,23723.17,23723.17,captured,2026-09-03
PAY_71D1E5867FC8,ORD_ECDF178B8738,card,3183.09,3183.09,captured,2026-09-03
PAY_71F68E65A27B,ORD_51D89C8FFD23,card,5978.92,5978.92,captured,2026-09-03
PAY_723A253E7F1D,ORD_E638BBC72B95,card,49667.20,49667.20,captured,2026-09-03
PAY_7278952D84F9,ORD_43421B43C2BE,upi,20200.56,20200.56,captured,2026-09-03
PAY_7325D30CD7DE,ORD_64D2BAF460CD,upi,5988.96,5988.96,captured,2026-09-03
PAY_74B4C612C234,ORD_126A9E2EB848,upi,11774.62,11774.62,captured,2026-09-03
PAY_757BD631252C,ORD_565B2B193995,upi,5656.59,5656.59,captured,2026-09-03
PAY_75ADCD7C388D,ORD_A2C41939926E,netbanking,22876.35,22876.35,captured,2026-09-03
PAY_775CCCCE3110,ORD_1ABFDDD8005C,card,14606.39,12858.31,partial,2026-09-03
